,numThreads,runTimeSec,k,l
0,88,28.54459810256958,64,30
1,88,11.42207670211792,30,30
2,88,9.68319845199585,22,30
3,64,37.00624942779541,64,30
4,64,13.559168815612793,30,30
5,64,10.398385047912598,22,30
6,32,60.99132061004639,64,30
7,32,18.098658800125122,30,30
8,32,13.243798732757568,22,30
9,16,109.64039206504822,64,30
10,16,27.98138165473938,30,30
11,16,18.21925926208496,22,30
12,8,189.73411560058594,64,30
13,8,44.228124141693115,30,30
14,8,27.092037677764893,22,30
15,4,229.77000737190247,64,30
16,4,56.19911980628967,30,30
17,4,37.62739372253418,22,30
18,2,449.01569843292236,64,30
19,2,100.50920915603638,30,30
20,2,62.016661167144775,22,30
