tpr,fpr,t
0.0,0.0,1770089.6979781517
7.68403258029814e-05,0.0,1770088.6979781517
0.0001536806516059628,0.0,1136686.340771202
0.00019210081450745352,0.0,885044.3489890759
0.0002689411403104349,0.0,756741.5253378948
0.0003073613032119256,0.0,568343.170385601
0.00038420162901490703,0.0,519465.1767339303
0.0004226217919163977,0.0,378370.7626689474
0.0005763024435223605,0.0,263993.14329944644
0.0006147226064238512,0.0,259732.5883669652
0.0006915629322268327,0.0,194223.3173399094
0.0007299830951283233,0.0,183051.76075896432
0.0008068234209313047,0.0,145452.39094481172
0.0008452435838327954,0.0,131996.57164972322
0.0009220839096357768,0.0,110664.31284368473
0.0009605040725372676,0.0,97111.6586699547
0.001037344398340249,0.0,85398.31012127141
0.0010757645612417396,0.0,72726.19547240586
0.001152604887044721,0.0,66748.11747257652
0.0011910250499462117,0.0,55332.15642184238
0.0012678653757491932,0.0,52778.31109553819
0.0013062855386506839,0.0,42699.155060635705
0.0014599661902566466,0.0,34026.88274831884
0.0014983863531581375,0.0,33374.05873628826
0.0015752266789611188,0.0,27697.139465326527
0.0016136468418626094,0.0,26389.155547769093
0.0017673274934685724,0.0,22729.099026872806
0.0018441678192715537,0.0,22703.157640267775
0.0018825879821730445,0.0,21087.133261251685
0.002036268633779007,0.0,18792.958179700967
0.002074688796680498,0.0,17013.44137415942
0.002151529122483479,0.0,15929.522379567623
0.002305209774089442,0.0,15647.11742225074
0.002343629936990933,0.0,13848.569732663263
0.0024973105885968956,0.0,13112.510111416577
0.0026509912402028586,0.0,11364.549513436401
0.002689411403104349,0.0,11351.57882013389
0.002843092054710312,0.0,11054.970357665923
0.0029199323805132933,0.0,9396.479089850485
0.0030736130321192563,0.0,9372.95553635423
0.0031504533579222375,0.0,8514.034246669118
0.0033041340095282005,0.0,7988.887898575762
0.003342554172429691,0.0,7964.7611897838115
0.0034193944982326726,0.0,7823.558711125371
0.003573075149838635,0.0,6842.975687085317
0.003726755801444598,0.0,6435.3677012421485
0.0038804364530505607,0.0,5888.754633280739
0.003918856615952052,0.0,5751.992334093337
0.003995696941755033,0.0,5527.4851788329615
0.004149377593360996,0.0,5089.837327660753
0.004303058244966958,0.0,4686.477768177115
0.004456738896572922,0.0,4417.520084931553
0.004495159059474412,0.0,4257.017123334558
0.004495159059474412,1.0626879629334439e-05,4221.796741383807
0.004648839711080375,1.0626879629334439e-05,3875.532074200552
0.004802520362686338,1.0626879629334439e-05,3849.0049300184746
0.0048793606884893195,1.0626879629334439e-05,3421.4878435426585
0.005033041340095282,1.0626879629334439e-05,3366.067179631636
0.005071461502996773,1.0626879629334439e-05,3217.6838506210743
0.005148301828799754,1.0626879629334439e-05,3075.1544493552096
0.005301982480405717,1.0626879629334439e-05,2954.0488064693645
0.005378822806208698,1.0626879629334439e-05,2944.3773166403694
0.005378822806208698,3.188063888800331e-05,2622.719037552787
0.005532503457814661,3.188063888800331e-05,2601.092072446046
0.005609343783617642,3.188063888800331e-05,2544.9186638303763
0.005647763946519133,3.188063888800331e-05,2477.047663578706
0.005724604272322115,3.188063888800331e-05,2471.134105799481
0.005955125249731059,3.188063888800331e-05,2297.551829100022
0.00603196557553404,3.188063888800331e-05,2208.7600424657767
0.006262486552942984,3.188063888800331e-05,2035.541717731857
0.006339326878745966,3.188063888800331e-05,2008.3974574320603
0.006377747041647457,3.188063888800331e-05,1937.766037100276
0.006454587367450438,3.188063888800331e-05,1924.5024650092373
0.006685108344859382,3.188063888800331e-05,1808.5814641527365
0.006838788996465345,3.188063888800331e-05,1649.0789902774752
0.0070693099738742896,3.188063888800331e-05,1611.3210383807975
0.0071077301367757795,3.188063888800331e-05,1537.5772246776048
0.007184570462578761,3.188063888800331e-05,1477.0244032346823
0.0074150914399877055,3.188063888800331e-05,1439.323648728389
0.007568772091593668,3.188063888800331e-05,1300.546036223023
0.007799293069002612,3.188063888800331e-05,1288.894056742636
0.007837713231904103,3.188063888800331e-05,1235.5670528997405
0.008068234209313048,3.188063888800331e-05,1156.9420158113478
0.00818349469801752,3.188063888800331e-05,1148.775914550011
0.008260335023820502,3.188063888800331e-05,1142.1634859624367
0.008260335023820502,4.2507518517337755e-05,1121.7402386911883
0.008490856001229445,4.2507518517337755e-05,1040.87308869496
0.008490856001229445,5.313439814667219e-05,1031.5553486343454
0.008606116489933917,5.313439814667219e-05,1017.7708588659285
0.008644536652835409,5.313439814667219e-05,1004.1987287160301
0.00872137697863839,5.313439814667219e-05,961.9399752949736
0.008951897956047334,5.313439814667219e-05,938.50092535686
0.009067158444751805,5.313439814667219e-05,904.2907320763683
0.009067158444751805,6.376127777600663e-05,877.5612815406986
0.00929767942216075,6.376127777600663e-05,847.9764511657945
0.00933609958506224,6.376127777600663e-05,824.5394951387376
0.009412939910865222,6.376127777600663e-05,815.9023343695887
0.009412939910865222,7.438815740534107e-05,812.5361433252306
0.009528200399569694,7.438815740534107e-05,805.6605191903989
0.009528200399569694,8.501503703467551e-05,791.0789306036794
0.009758721376978639,8.501503703467551e-05,767.730447875291
0.00987398186568311,8.501503703467551e-05,719.6618243641944
0.00987398186568311,9.564191666400994e-05,707.8098380817219
0.010027662517289074,9.564191666400994e-05,696.555968777544
0.010258183494698018,9.564191666400994e-05,696.4267931092228
0.010296603657599507,9.564191666400994e-05,683.3207937539329
0.010296603657599507,0.00010626879629334438,675.3148388389574
0.010411864146303981,0.00010626879629334438,644.447028371318
0.010642385123712924,0.00010626879629334438,632.9242218973442
0.010796065775318888,0.00010626879629334438,598.2550306926007
